1.170.44.84,//MyAdmin/scripts/setup.php,1,223
1.170.44.84,//MySQLAdmin/scripts/setup.php,1,226
1.170.44.84,//PHPMYADMIN/scripts/setup.php,1,226
1.170.44.84,//PMA/scripts/setup.php,1,219
1.170.44.84,//PMA2005/scripts/setup.php,1,223
1.170.44.84,//SQL/scripts/setup.php,1,219
1.170.44.84,//SSLMySQLAdmin/scripts/setup.php,1,229
1.170.44.84,//_admin/scripts/setup.php,1,222
1.170.44.84,//_phpMyAdmin/scripts/setup.php,1,227
1.170.44.84,//_phpmyadmin/scripts/setup.php,1,227
1.170.44.84,//admin/mysql/scripts/setup.php,1,227
1.170.44.84,//admin/phpmyadmin/scripts/setup.php,1,232
1.170.44.84,//admin/pma/scripts/setup.php,1,225
1.170.44.84,//admin/scripts/setup.php,1,221
1.170.44.84,//admm/scripts/setup.php,1,220
1.170.44.84,//admn/scripts/setup.php,1,220
1.170.44.84,//backup/phpMyAdmin/scripts/setup.php,1,233
1.170.44.84,//backup/phpmyadmin/scripts/setup.php,1,233
1.170.44.84,//bbs/data/scripts/setup.php,1,224
1.170.44.84,//bkup/phpMyAdmin/scripts/setup.php,1,231
1.170.44.84,//bkup/phpmyadmin/scripts/setup.php,1,231
1.170.44.84,//cpadmin/scripts/setup.php,1,223
1.170.44.84,//cpadmindb/scripts/setup.php,1,225
1.170.44.84,//cpanelmysql/scripts/setup.php,1,227
1.170.44.84,//cpanelphpmyadmin/scripts/setup.php,1,232
1.170.44.84,//cpanelsql/scripts/setup.php,1,225
1.170.44.84,//cpdbadmin/scripts/setup.php,1,225
1.170.44.84,//cpphpmyadmin/scripts/setup.php,1,228
1.170.44.84,//databaseadmin/scripts/setup.php,1,229
1.170.44.84,//db/scripts/setup.php,1,218
1.170.44.84,//dbadmin/scripts/setup.php,1,223
1.170.44.84,//myadmin/scripts/setup.php,1,223
1.170.44.84,//mysql-admin/scripts/setup.php,1,227
1.170.44.84,//mysql/scripts/setup.php,1,221
1.170.44.84,//mysqladmin/scripts/setup.php,1,226
1.170.44.84,//mysqladminconfig/scripts/setup.php,1,232
1.170.44.84,//mysqlmanager/scripts/setup.php,1,228
1.170.44.84,//p/m/a/scripts/setup.php,1,221
1.170.44.84,//pHpMy/scripts/setup.php,1,221
1.170.44.84,//pHpMyAdMiN/scripts/setup.php,1,226
